timestamp,average,minimum,maximum
2023-09-17T23:35:00.000Z,92.452,91.45,93.46
2023-09-17T23:40:00.000Z,92.906,91.44,95.94
2023-09-17T21:45:00.000Z,92.54,91.18,94.93
2023-09-17T21:50:00.000Z,92.495,91.43,95.38
2023-09-17T21:55:00.000Z,92.493,90.81,95.52
2023-09-17T22:00:00.000Z,92.607,91.77,96.04
2023-09-17T22:05:00.000Z,92.72,91.5,95.55
2023-09-17T22:10:00.000Z,92.266,91.77,92.77
2023-09-17T22:15:00.000Z,92.375,91.41,95.05
2023-09-17T22:20:00.000Z,92.54,91.62,95.35
2023-09-17T22:25:00.000Z,92.597,91.31,94.26
2023-09-17T22:30:00.000Z,92.456,91.61,94.66
2023-09-17T22:35:00.000Z,92.557,91.29,95.67
2023-09-17T22:40:00.000Z,92.499,91.5,93.79
2023-09-17T20:45:00.000Z,92.335,91.11,95.39
2023-09-17T20:50:00.000Z,92.509,91.63,95.45
2023-09-17T20:55:00.000Z,92.644,90.87,95.9
2023-09-17T21:00:00.000Z,92.472,90.78,95.87
2023-09-17T21:05:00.000Z,92.4,91.36,95.87
2023-09-17T21:10:00.000Z,92.251,91.47,95.08
2023-09-17T21:15:00.000Z,92.212,90.91,93.23
2023-09-17T21:20:00.000Z,92.629,91.2,96.5
2023-09-17T21:25:00.000Z,92.624,91.73,95.11
2023-09-17T21:30:00.000Z,92.412,90.9,95.62
2023-09-17T21:35:00.000Z,92.472,91.61,94.6
2023-09-17T21:40:00.000Z,92.476,91.25,94.76
2023-09-17T19:45:00.000Z,92.502,91.06,95.02
2023-09-17T19:50:00.000Z,92.422,91.21,94.84
2023-09-17T19:55:00.000Z,92.362,90.55,93.58
2023-09-17T20:00:00.000Z,92.69,91.13,95.58
2023-09-17T20:05:00.000Z,92.572,91.44,94.93
2023-09-17T20:10:00.000Z,92.674,91.11,95.43
2023-09-17T20:15:00.000Z,92.484,91.42,94.26
2023-09-17T20:20:00.000Z,91.97,91.14,92.9
2023-09-17T20:25:00.000Z,92.401,90.99,94.28
2023-09-17T20:30:00.000Z,92.341,91.29,93.96
2023-09-17T20:35:00.000Z,92.341,91.51,95.35
2023-09-17T20:40:00.000Z,92.642,91.05,95.9
2023-09-17T18:44:00.000Z,92.376,90.8,95.1
2023-09-17T18:49:00.000Z,92.348,91.47,94.57
2023-09-17T18:54:00.000Z,92.35,91.1,95.49
2023-09-17T18:59:00.000Z,92.303,90.87,95.3
2023-09-17T19:04:00.000Z,92.288,90.95,95.13
2023-09-17T19:09:00.000Z,92.153,91.08,93.13
2023-09-17T19:14:00.000Z,92.29,91.09,95.5
2023-09-17T19:19:00.000Z,92.437,91.33,94
2023-09-17T19:24:00.000Z,92.35,90.9,95.27
2023-09-17T19:29:00.000Z,92.155,91.22,94.31
2023-09-17T19:34:00.000Z,92.698,91.34,94.75
2023-09-17T19:39:00.000Z,92.285,91.08,94.03
2023-09-17T17:44:00.000Z,92.676,91.64,95.96
2023-09-17T17:49:00.000Z,92.453,91.5,95.35
2023-09-17T17:54:00.000Z,92.583,91.63,95.73
2023-09-17T17:59:00.000Z,92.576,91.45,94.6
2023-09-17T18:04:00.000Z,92.552,91.7,96.45
2023-09-17T18:09:00.000Z,92.746,91.44,95.19
